, 15-01a, 15-02a, 15-03a, 15-04a, 15-05a, 15-06a, 15-07a, 15-08a, 15-09a, 15-10a, 15-11a, 15-12a, 15-13a, 15-14a, 15-15a, 15-16a, 15-17a, 15-18a, 15-19a, 15-20a, 15-21a, 15-22a, 15-23a, 15-24a, 15-25a, 15-26a, 15-27a, 15-28a, 15-29a, 15-30a, 15-31a, 15-32a, 15-33a, 15-34a, 15-36a, 15-01b, 15-02b, 15-03b, 15-04b, 15-05b, 15-06b, 15-07b, 15-08b, 15-09b, 15-10b, 15-11b, 15-12b, 15-13b, 15-14b, 15-15b, 15-16b, 15-17b, 15-18b, 15-19b, 15-20b, 15-21b, 15-22b, 15-23b, 15-24b, 15-25b, 15-26b, 15-27b, 15-28b, 15-29b, 15-30b, 15-31b, 15-32b, 15-33b, 15-34b, 15-36b, 15-01c, 15-02c, 15-03c, 15-04c, 15-05c, 15-06c, 15-07c, 15-08c, 15-09c, 15-10c, 15-11c, 15-12c, 15-13c, 15-14c, 15-15c, 15-16c, 15-17c, 15-18c, 15-19c, 15-20c, 15-21c, 15-22c, 15-23c, 15-24c, 15-25c, 15-26c, 15-27c, 15-28c, 15-29c, 15-30c, 15-31c, 15-32c, 15-33c, 15-34c, 15-36c
841_3.222_252.1119,600,600,600,600,600,600,45289.47,18473.45,600,600,25459.07,47705.97,55862.44,50010.19,600,89186.3,65949.99,600,80017.57,28346.11,600,54647.18,600,47079.14,78109.92,74642.34,12163.03,600,600,600,600,53135.32,46621.6,68593.81,60210.03,600,600,600,600,600,600,45289.47,18473.45,600,600,25459.07,47705.97,55862.44,50010.19,600,89186.3,65949.99,600,80017.57,28346.11,600,54647.18,600,47079.14,78109.92,74642.34,12163.03,600,600,600,600,53135.32,46621.6,68593.81,60210.03,600,600,600,600,600,600,45289.47,18473.45,600,600,25459.07,47705.97,55862.44,50010.19,600,89186.3,65949.99,600,80017.57,28346.11,600,54647.18,600,47079.14,78109.92,74642.34,12163.03,600,600,600,600,53135.32,46621.6,68593.81,60210.03
842_3.778_252.121,88772.48,87586.18,91637.51,76164.84,75720.3,71932.94,94392.02,74446.56,6819.281,75278.33,96009.23,70670.98,64718.23,87016.83,600,90123.65,86088.25,67544.76,89686.86,68358.91,279802.2,86998.09,114587,315031.9,73426.13,600,56566.01,53457.27,175096.7,547426,107037.7,134307.4,130964.7,123178.9,126153.2,88772.48,87586.18,91637.51,76164.84,75720.3,71932.94,94392.02,74446.56,6819.281,75278.33,96009.23,70670.98,64718.23,87016.83,600,90123.65,86088.25,67544.76,89686.86,68358.91,279802.2,86998.09,114587,315031.9,73426.13,600,56566.01,53457.27,175096.7,547426,107037.7,134307.4,130964.7,123178.9,126153.2,88772.48,87586.18,91637.51,76164.84,75720.3,71932.94,94392.02,74446.56,6819.281,75278.33,96009.23,70670.98,64718.23,87016.83,600,90123.65,86088.25,67544.76,89686.86,68358.91,279802.2,86998.09,114587,315031.9,73426.13,600,56566.01,53457.27,175096.7,547426,107037.7,134307.4,130964.7,123178.9,126153.2
843_3.259_253.1315,25399.62,600,600,76160.66,25673.54,27431.58,16750.96,16043.72,61760.59,35865.51,86001.34,92699.52,84377.84,42721.22,600,69127.33,5110.878,32394.03,8199.451,117120,600,59980.82,44640.14,600,99023.56,109144.5,46654.61,27697.15,600,28280.42,37850.49,61356.09,83084.89,76352.95,26374.14,25399.62,600,600,76160.66,25673.54,27431.58,16750.96,16043.72,61760.59,35865.51,86001.34,92699.52,84377.84,42721.22,600,69127.33,5110.878,32394.03,8199.451,117120,600,59980.82,44640.14,600,99023.56,109144.5,46654.61,27697.15,600,28280.42,37850.49,61356.09,83084.89,76352.95,26374.14,25399.62,600,600,76160.66,25673.54,27431.58,16750.96,16043.72,61760.59,35865.51,86001.34,92699.52,84377.84,42721.22,600,69127.33,5110.878,32394.03,8199.451,117120,600,59980.82,44640.14,600,99023.56,109144.5,46654.61,27697.15,600,28280.42,37850.49,61356.09,83084.89,76352.95,26374.14
844_3.554_254.1265,600,11867.34,76012.6,600,600,600,600,26235.23,600,600,600,101236,16848.92,600,600,600,9847.12,600,69405.04,68458.89,600,160072.1,600,600,54904.18,600,600,165384.3,600,600,600,600,600,54698.42,600,600,11867.34,76012.6,600,600,600,600,26235.23,600,600,600,101236,16848.92,600,600,600,9847.12,600,69405.04,68458.89,600,160072.1,600,600,54904.18,600,600,165384.3,600,600,600,600,600,54698.42,600,600,11867.34,76012.6,600,600,600,600,26235.23,600,600,600,101236,16848.92,600,600,600,9847.12,600,69405.04,68458.89,600,160072.1,600,600,54904.18,600,600,165384.3,600,600,600,600,600,54698.42,600
845_9.101_254.1882,101675.2,83635.47,61321.91,69506.34,79525.89,76099.41,70724.24,63010.75,84375.53,82860.41,68344.7,90916.16,70701.33,51952.6,84399.73,75853.13,85376.94,85719.3,77046.98,73992.95,59596.55,78123.77,72733.91,81879.2,71792.27,74907.57,50524.59,69666.16,59229.8,72220.42,72660.41,77464.88,86259.38,64858.25,84567.21,101675.2,83635.47,61321.91,69506.34,79525.89,76099.41,70724.24,63010.75,84375.53,82860.41,68344.7,90916.16,70701.33,51952.6,84399.73,75853.13,85376.94,85719.3,77046.98,73992.95,59596.55,78123.77,72733.91,81879.2,71792.27,74907.57,50524.59,69666.16,59229.8,72220.42,72660.41,77464.88,86259.38,64858.25,84567.21,101675.2,83635.47,61321.91,69506.34,79525.89,76099.41,70724.24,63010.75,84375.53,82860.41,68344.7,90916.16,70701.33,51952.6,84399.73,75853.13,85376.94,85719.3,77046.98,73992.95,59596.55,78123.77,72733.91,81879.2,71792.27,74907.57,50524.59,69666.16,59229.8,72220.42,72660.41,77464.88,86259.38,64858.25,84567.21
846_3.183_255.1579,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,337211.1,600,600,600,600,600,600,600,103383.3,600,284145.4,382596.9,261268.8,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,337211.1,600,600,600,600,600,600,600,103383.3,600,284145.4,382596.9,261268.8,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,337211.1,600,600,600,600,600,600,600,103383.3,600,284145.4,382596.9,261268.8
847_0.946_255.8634,600,600,26059.41,600,600,600,115721,30055.78,600,34572.51,600,600,600,58847.15,600,600,66691.27,73733.96,600,600,600,600,600,85052.63,600,18463.47,600,600,600,600,600,88602.06,600,600,600,600,600,26059.41,600,600,600,115721,30055.78,600,34572.51,600,600,600,58847.15,600,600,66691.27,73733.96,600,600,600,600,600,85052.63,600,18463.47,600,600,600,600,600,88602.06,600,600,600,600,600,26059.41,600,600,600,115721,30055.78,600,34572.51,600,600,600,58847.15,600,600,66691.27,73733.96,600,600,600,600,600,85052.63,600,18463.47,600,600,600,600,600,88602.06,600,600,600
848_1.492_255.8636,399006.1,411044.8,301790.3,308312.8,519612.8,443690.8,433210.8,414877.3,460097.3,306982.4,389480.7,390327.6,538589.6,254272.6,271663.2,310028.7,496238.1,696433.4,248060.3,418604.3,371108.6,578176.3,271204.7,611940.9,350826.3,393870.2,600,381594.7,330991.5,347782.3,357342.3,676882.7,329987,357147.6,365080.8,399006.1,411044.8,301790.3,308312.8,519612.8,443690.8,433210.8,414877.3,460097.3,306982.4,389480.7,390327.6,538589.6,254272.6,271663.2,310028.7,496238.1,696433.4,248060.3,418604.3,371108.6,578176.3,271204.7,611940.9,350826.3,393870.2,600,381594.7,330991.5,347782.3,357342.3,676882.7,329987,357147.6,365080.8,399006.1,411044.8,301790.3,308312.8,519612.8,443690.8,433210.8,414877.3,460097.3,306982.4,389480.7,390327.6,538589.6,254272.6,271663.2,310028.7,496238.1,696433.4,248060.3,418604.3,371108.6,578176.3,271204.7,611940.9,350826.3,393870.2,600,381594.7,330991.5,347782.3,357342.3,676882.7,329987,357147.6,365080.8
849_1.353_255.8636,173869.4,600,600,221444.8,600,600,600,600,205050.1,600,600,600,600,600,600,600,225506.3,242327.8,808235.4,600,600,600,600,600,600,600,185603.4,600,187069.5,600,600,600,600,169952.6,178724.8,173869.4,600,600,221444.8,600,600,600,600,205050.1,600,600,600,600,600,600,600,225506.3,242327.8,808235.4,600,600,600,600,600,600,600,185603.4,600,187069.5,600,600,600,600,169952.6,178724.8,173869.4,600,600,221444.8,600,600,600,600,205050.1,600,600,600,600,600,600,600,225506.3,242327.8,808235.4,600,600,600,600,600,600,600,185603.4,600,187069.5,600,600,600,600,169952.6,178724.8
850_1.422_255.8637,600,600,600,125794.4,600,600,600,600,600,110364.8,600,600,600,600,131901.9,134857.9,600,600,600,600,600,600,600,600,600,600,123927.6,600,600,600,600,600,107119.3,132782.1,600,600,600,600,125794.4,600,600,600,600,600,110364.8,600,600,600,600,131901.9,134857.9,600,600,600,600,600,600,600,600,600,600,123927.6,600,600,600,600,600,107119.3,132782.1,600,600,600,600,125794.4,600,600,600,600,600,110364.8,600,600,600,600,131901.9,134857.9,600,600,600,600,600,600,600,600,600,600,123927.6,600,600,600,600,600,107119.3,132782.1,600
851_1.711_255.8637,600,70863.49,31014.74,69207.09,52859.73,600,600,600,600,80568.73,44310.69,600,50973.05,51029.48,600,58692.7,600,600,82489.42,600,600,50775.45,600,600,77600.73,101215.4,600,48745.65,600,600,48945.58,600,600,600,600,600,70863.49,31014.74,69207.09,52859.73,600,600,600,600,80568.73,44310.69,600,50973.05,51029.48,600,58692.7,600,600,82489.42,600,600,50775.45,600,600,77600.73,101215.4,600,48745.65,600,600,48945.58,600,600,600,600,600,70863.49,31014.74,69207.09,52859.73,600,600,600,600,80568.73,44310.69,600,50973.05,51029.48,600,58692.7,600,600,82489.42,600,600,50775.45,600,600,77600.73,101215.4,600,48745.65,600,600,48945.58,600,600,600,600
852_3.252_256.1058,600,600,5965.572,61260.28,600,600,48221.49,59877.6,600,600,89440.92,600,118112.5,600,600,600,150400.4,600,600,600,79450.06,122442.8,44305.17,600,116062.3,53422.87,117744.5,107636,600,600,600,600,600,80567.1,600,600,600,5965.572,61260.28,600,600,48221.49,59877.6,600,600,89440.92,600,118112.5,600,600,600,150400.4,600,600,600,79450.06,122442.8,44305.17,600,116062.3,53422.87,117744.5,107636,600,600,600,600,600,80567.1,600,600,600,5965.572,61260.28,600,600,48221.49,59877.6,600,600,89440.92,600,118112.5,600,600,600,150400.4,600,600,600,79450.06,122442.8,44305.17,600,116062.3,53422.87,117744.5,107636,600,600,600,600,600,80567.1,600
853_0.447_256.14,600,600,600,600,33647.59,600,131211.4,600,600,600,600,65810.34,62642.03,600,54578.13,600,48277.47,128962.9,600,115686.6,119120,600,600,600,600,600,144418.5,109919.8,47147.24,18687.91,600,36947.53,21125.15,99099.32,600,600,600,600,600,33647.59,600,131211.4,600,600,600,600,65810.34,62642.03,600,54578.13,600,48277.47,128962.9,600,115686.6,119120,600,600,600,600,600,144418.5,109919.8,47147.24,18687.91,600,36947.53,21125.15,99099.32,600,600,600,600,600,33647.59,600,131211.4,600,600,600,600,65810.34,62642.03,600,54578.13,600,48277.47,128962.9,600,115686.6,119120,600,600,600,600,600,144418.5,109919.8,47147.24,18687.91,600,36947.53,21125.15,99099.32,600
854_9.453_257.2719,180536.1,194690.5,181319.9,167113.1,191219.3,174866.6,191125.1,161783.4,182376.1,184940.3,174905.5,190424.9,156609.8,171225.5,177734.7,191322.2,158086.1,156528.1,174281.6,154860.5,151724.1,15516.92,152025.2,159604.9,150239.8,149727.5,145029.5,155976.2,144504.3,147083.4,148451.5,139611.8,143595.1,140122.3,124397.4,180536.1,194690.5,181319.9,167113.1,191219.3,174866.6,191125.1,161783.4,182376.1,184940.3,174905.5,190424.9,156609.8,171225.5,177734.7,191322.2,158086.1,156528.1,174281.6,154860.5,151724.1,15516.92,152025.2,159604.9,150239.8,149727.5,145029.5,155976.2,144504.3,147083.4,148451.5,139611.8,143595.1,140122.3,124397.4,180536.1,194690.5,181319.9,167113.1,191219.3,174866.6,191125.1,161783.4,182376.1,184940.3,174905.5,190424.9,156609.8,171225.5,177734.7,191322.2,158086.1,156528.1,174281.6,154860.5,151724.1,15516.92,152025.2,159604.9,150239.8,149727.5,145029.5,155976.2,144504.3,147083.4,148451.5,139611.8,143595.1,140122.3,124397.4
855_4.152_258.1092,600,34886.99,29273.61,600,600,600,600,34360.21,600,28925.06,600,32266.38,600,33155.58,600,30399.21,600,13696.82,62729.28,22236.78,600,600,600,600,59896.73,14060.01,7867.26,600,600,600,12011.01,34124.59,600,600,26406.59,600,34886.99,29273.61,600,600,600,600,34360.21,600,28925.06,600,32266.38,600,33155.58,600,30399.21,600,13696.82,62729.28,22236.78,600,600,600,600,59896.73,14060.01,7867.26,600,600,600,12011.01,34124.59,600,600,26406.59,600,34886.99,29273.61,600,600,600,600,34360.21,600,28925.06,600,32266.38,600,33155.58,600,30399.21,600,13696.82,62729.28,22236.78,600,600,600,600,59896.73,14060.01,7867.26,600,600,600,12011.01,34124.59,600,600,26406.59
856_5.111_258.1103,600,4388.099,600,600,600,600,60010.98,600,600,600,125381.7,600,600,67056.19,600,600,156883.4,97818.41,175581.2,64539.43,22047.62,600,600,157759,54256.71,85811.55,600,600,600,600,600,600,600,69591.52,600,600,4388.099,600,600,600,600,60010.98,600,600,600,125381.7,600,600,67056.19,600,600,156883.4,97818.41,175581.2,64539.43,22047.62,600,600,157759,54256.71,85811.55,600,600,600,600,600,600,600,69591.52,600,600,4388.099,600,600,600,600,60010.98,600,600,600,125381.7,600,600,67056.19,600,600,156883.4,97818.41,175581.2,64539.43,22047.62,600,600,157759,54256.71,85811.55,600,600,600,600,600,600,600,69591.52,600
857_4.892_258.1103,33434.41,31262.52,19258.44,31374.99,600,600,600,600,46954.08,600,600,600,600,82604.39,600,600,600,600,600,30285.92,42173.07,40610.18,40547.4,47747.4,105268.1,600,600,49017.9,600,35373.38,600,51536.91,600,600,34975.24,33434.41,31262.52,19258.44,31374.99,600,600,600,600,46954.08,600,600,600,600,82604.39,600,600,600,600,600,30285.92,42173.07,40610.18,40547.4,47747.4,105268.1,600,600,49017.9,600,35373.38,600,51536.91,600,600,34975.24,33434.41,31262.52,19258.44,31374.99,600,600,600,600,46954.08,600,600,600,600,82604.39,600,600,600,600,600,30285.92,42173.07,40610.18,40547.4,47747.4,105268.1,600,600,49017.9,600,35373.38,600,51536.91,600,600,34975.24
858_3.203_258.1231,600,56612.11,10299.38,600,600,600,600,40466.96,600,600,48505.5,43223.02,15315.04,46808.26,600,600,95816.08,29662.66,57017.78,83848.05,23288.56,105432.6,49467.05,19188.1,600,51240.58,56172.17,48880.14,35764.83,600,70152.37,600,600,600,29176.16,600,56612.11,10299.38,600,600,600,600,40466.96,600,600,48505.5,43223.02,15315.04,46808.26,600,600,95816.08,29662.66,57017.78,83848.05,23288.56,105432.6,49467.05,19188.1,600,51240.58,56172.17,48880.14,35764.83,600,70152.37,600,600,600,29176.16,600,56612.11,10299.38,600,600,600,600,40466.96,600,600,48505.5,43223.02,15315.04,46808.26,600,600,95816.08,29662.66,57017.78,83848.05,23288.56,105432.6,49467.05,19188.1,600,51240.58,56172.17,48880.14,35764.83,600,70152.37,600,600,600,29176.16
859_6.756_258.2308,40793.52,15098.56,15142.36,12118.22,23997.93,24828.08,40733.41,36726.18,135503.3,12663.35,11594.98,5898.435,5984.898,34613.82,125863.9,10207.4,11008.71,6416.287,21817.73,32104.54,12159.92,38527,10844.78,124551.4,32729.17,17946.77,18651.17,19951.99,17659.84,80818.81,600,109121.8,214443.4,8280.217,11560.81,40793.52,15098.56,15142.36,12118.22,23997.93,24828.08,40733.41,36726.18,135503.3,12663.35,11594.98,5898.435,5984.898,34613.82,125863.9,10207.4,11008.71,6416.287,21817.73,32104.54,12159.92,38527,10844.78,124551.4,32729.17,17946.77,18651.17,19951.99,17659.84,80818.81,600,109121.8,214443.4,8280.217,11560.81,40793.52,15098.56,15142.36,12118.22,23997.93,24828.08,40733.41,36726.18,135503.3,12663.35,11594.98,5898.435,5984.898,34613.82,125863.9,10207.4,11008.71,6416.287,21817.73,32104.54,12159.92,38527,10844.78,124551.4,32729.17,17946.77,18651.17,19951.99,17659.84,80818.81,600,109121.8,214443.4,8280.217,11560.81
860_1.466_258.9309,147608.5,231183.8,209287,128888.1,600,172450,70369.59,168422.2,187052.3,213661.8,252903.7,267211.3,332909,209827,216319.7,199025.7,178804.1,208115.6,186532.6,285457.6,600,96370.8,145483,110996.9,238370.9,600,166356.4,211048,109100.1,600,204971.4,75065.63,182447.4,161675.1,83156.84,147608.5,231183.8,209287,128888.1,600,172450,70369.59,168422.2,187052.3,213661.8,252903.7,267211.3,332909,209827,216319.7,199025.7,178804.1,208115.6,186532.6,285457.6,600,96370.8,145483,110996.9,238370.9,600,166356.4,211048,109100.1,600,204971.4,75065.63,182447.4,161675.1,83156.84,147608.5,231183.8,209287,128888.1,600,172450,70369.59,168422.2,187052.3,213661.8,252903.7,267211.3,332909,209827,216319.7,199025.7,178804.1,208115.6,186532.6,285457.6,600,96370.8,145483,110996.9,238370.9,600,166356.4,211048,109100.1,600,204971.4,75065.63,182447.4,161675.1,83156.84
861_4.266_260.124,600,600,600,600,9947.36,29219.07,10437.75,600,600,11691.18,42909.71,600,185266.5,600,43577.68,600,600,21088.04,14753.81,600,66934.31,600,600,600,600,266637.3,22256.39,600,30789.88,6264.957,600,600,19860.72,600,13407.9,600,600,600,600,9947.36,29219.07,10437.75,600,600,11691.18,42909.71,600,185266.5,600,43577.68,600,600,21088.04,14753.81,600,66934.31,600,600,600,600,266637.3,22256.39,600,30789.88,6264.957,600,600,19860.72,600,13407.9,600,600,600,600,9947.36,29219.07,10437.75,600,600,11691.18,42909.71,600,185266.5,600,43577.68,600,600,21088.04,14753.81,600,66934.31,600,600,600,600,266637.3,22256.39,600,30789.88,6264.957,600,600,19860.72,600,13407.9
862_3.776_260.1369,600,82621.02,72623.83,7011.124,600,600,600,161810.1,19747.26,32156.31,95962.09,43050.93,33330.95,600,600,600,40890.48,600,48502.68,600,66139.69,67749.88,600,600,600,600,600,52862.28,600,38954.2,53201.05,600,600,600,52530.65,600,82621.02,72623.83,7011.124,600,600,600,161810.1,19747.26,32156.31,95962.09,43050.93,33330.95,600,600,600,40890.48,600,48502.68,600,66139.69,67749.88,600,600,600,600,600,52862.28,600,38954.2,53201.05,600,600,600,52530.65,600,82621.02,72623.83,7011.124,600,600,600,161810.1,19747.26,32156.31,95962.09,43050.93,33330.95,600,600,600,40890.48,600,48502.68,600,66139.69,67749.88,600,600,600,600,600,52862.28,600,38954.2,53201.05,600,600,600,52530.65
863_3.084_260.137,600,600,600,600,600,600,69044.27,46467.11,600,600,76305.55,64476.46,600,600,600,42093.4,600,600,124469.5,43101.59,600,600,56814.9,600,600,19252.21,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,69044.27,46467.11,600,600,76305.55,64476.46,600,600,600,42093.4,600,600,124469.5,43101.59,600,600,56814.9,600,600,19252.21,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,69044.27,46467.11,600,600,76305.55,64476.46,600,600,600,42093.4,600,600,124469.5,43101.59,600,600,56814.9,600,600,19252.21,600,600,600,600,600,600,600,600,600
864_3.653_260.1372,124548,600,600,600,600,600,600,233476.2,128540.3,600,191843.9,44933.64,600,265598.2,270780.4,119839.6,600,600,18456.45,600,600,115608.1,195272.8,600,600,600,600,600,600,29722.24,600,600,184476.7,204061,163094.3,124548,600,600,600,600,600,600,233476.2,128540.3,600,191843.9,44933.64,600,265598.2,270780.4,119839.6,600,600,18456.45,600,600,115608.1,195272.8,600,600,600,600,600,600,29722.24,600,600,184476.7,204061,163094.3,124548,600,600,600,600,600,600,233476.2,128540.3,600,191843.9,44933.64,600,265598.2,270780.4,119839.6,600,600,18456.45,600,600,115608.1,195272.8,600,600,600,600,600,600,29722.24,600,600,184476.7,204061,163094.3
865_3.898_260.1374,152622.6,600,4290.564,600,600,600,600,600,31878.52,600,600,600,280047.6,600,618194.7,600,600,600,600,600,12625.63,600,304668.9,600,600,600,600,600,600,600,600,600,275040.1,600,235736.5,152622.6,600,4290.564,600,600,600,600,600,31878.52,600,600,600,280047.6,600,618194.7,600,600,600,600,600,12625.63,600,304668.9,600,600,600,600,600,600,600,600,600,275040.1,600,235736.5,152622.6,600,4290.564,600,600,600,600,600,31878.52,600,600,600,280047.6,600,618194.7,600,600,600,600,600,12625.63,600,304668.9,600,600,600,600,600,600,600,600,600,275040.1,600,235736.5
866_3.234_260.1385,20169.78,16674.26,128416.7,98206.53,600,35034.72,600,27839.26,600,600,111469.1,600,600,96727.23,600,600,600,21630.26,600,600,17666.01,600,107633,41554.7,600,76839.56,600,121226.9,600,38259.08,600,120477.8,18308.05,181992.7,141336.1,20169.78,16674.26,128416.7,98206.53,600,35034.72,600,27839.26,600,600,111469.1,600,600,96727.23,600,600,600,21630.26,600,600,17666.01,600,107633,41554.7,600,76839.56,600,121226.9,600,38259.08,600,120477.8,18308.05,181992.7,141336.1,20169.78,16674.26,128416.7,98206.53,600,35034.72,600,27839.26,600,600,111469.1,600,600,96727.23,600,600,600,21630.26,600,600,17666.01,600,107633,41554.7,600,76839.56,600,121226.9,600,38259.08,600,120477.8,18308.05,181992.7,141336.1
867_3.938_260.1394,19138.67,122607.1,600,600,600,600,33386.11,600,27732.23,600,600,600,600,600,600,127097,600,600,600,600,600,121976.1,600,600,600,600,600,600,600,600,53914.08,600,600,255325.9,600,19138.67,122607.1,600,600,600,600,33386.11,600,27732.23,600,600,600,600,600,600,127097,600,600,600,600,600,121976.1,600,600,600,600,600,600,600,600,53914.08,600,600,255325.9,600,19138.67,122607.1,600,600,600,600,33386.11,600,27732.23,600,600,600,600,600,600,127097,600,600,600,600,600,121976.1,600,600,600,600,600,600,600,600,53914.08,600,600,255325.9,600
868_1.438_261.1383,620190.4,600,600,600,600,600,144137.1,600,600,579043.9,137849.9,225360.7,234507.7,1006355,355939.3,526734.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,184712,600,600,600,620190.4,600,600,600,600,600,144137.1,600,600,579043.9,137849.9,225360.7,234507.7,1006355,355939.3,526734.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,184712,600,600,600,620190.4,600,600,600,600,600,144137.1,600,600,579043.9,137849.9,225360.7,234507.7,1006355,355939.3,526734.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,184712,600,600,600
869_7.128_261.2305,28643.95,31782.58,26899.41,24957.22,29126.29,25941.08,26808.06,22512.45,24715.92,23426.25,23128.09,22421.32,20810.24,23416.79,21618.97,19702.64,20031.94,19279.36,23278.97,21747.66,19327.76,20749.7,18213.43,20627.25,19595.87,20926.59,18677.54,19775.77,21006.22,17282.38,18516.06,18436.49,16421.02,19680.09,20273.38,28643.95,31782.58,26899.41,24957.22,29126.29,25941.08,26808.06,22512.45,24715.92,23426.25,23128.09,22421.32,20810.24,23416.79,21618.97,19702.64,20031.94,19279.36,23278.97,21747.66,19327.76,20749.7,18213.43,20627.25,19595.87,20926.59,18677.54,19775.77,21006.22,17282.38,18516.06,18436.49,16421.02,19680.09,20273.38,28643.95,31782.58,26899.41,24957.22,29126.29,25941.08,26808.06,22512.45,24715.92,23426.25,23128.09,22421.32,20810.24,23416.79,21618.97,19702.64,20031.94,19279.36,23278.97,21747.66,19327.76,20749.7,18213.43,20627.25,19595.87,20926.59,18677.54,19775.77,21006.22,17282.38,18516.06,18436.49,16421.02,19680.09,20273.38
