Compound Nme, 13 01, 13 02, 13 03, 13 04, 13 05, 13 06, 13 07, 13 08, 13 09, 13 10, 13 11, 13 12, 13 13, 13 14, 13 15, 13 16, 13 17, 13 18, 13 19, 13 20, 13 21, 13 22, 13 23, 13 24, 13 25, 13 26, 13 27, 13 28, 13 29, 13 30, 13 31, 13 32, 13 33, 13 34, 13 36, 14 01, 14 02, 14 03, 14 04, 14 05, 14 06, 14 07, 14 08, 14 09, 14 10, 14 11, 14 12, 14 13, 14 14, 14 15, 14 16, 14 17, 14 18, 14 19, 14 20, 14 21, 14 22, 14 23, 14 24, 14 25, 14 26, 14 27, 14 28, 14 29, 14 30, 14 31, 14 32, 14 33, 14 34, 14 36, 15-01, 15-02, 15-03, 15-04, 15-05, 15-06, 15-07, 15-08, 15-09, 15-10, 15-11, 15-12, 15-13, 15-14, 15-15, 15-16, 15-17, 15-18, 15-19, 15-20, 15-21, 15-22, 15-23, 15-24, 15-25, 15-26, 15-27, 15-28, 15-29, 15-30, 15-31, 15-32, 15-33, 15-34, 15-36
183_9.558_93.0579,600,600,600,286283,600,600,600,600,265844,600,600,297080.6,270382.2,300630.2,329672.2,600,302961.2,352037.8,600,600,600,600,600,600,294212.9,320282.8,319255.7,600,600,600,332459.9,600,600,600,600,600,387241.3,212159.7,600,600,600,266407.1,283288.3,385113.8,276454.1,600,600,292416.2,600,266966.1,322312.1,600,600,600,600,600,600,276581.7,600,600,349617.6,600,600,600,600,600,600,600,600,600,360510.5,340012.3,314230.2,284954.9,305733.5,284771,274249.7,260199.5,600,600,282163.6,600,371454.2,299200.7,600,600,289860.4,367062.6,372515.2,276273.6,268118.1,600,292493.7,275726,277892.9,282950.8,332213,308210.9,308530.6,600,277782.1,255573.9,254872.6,600,264720.7
184_0.264_93.0579,600,600,600,600,136545.1,600,600,600,600,600,600,600,1076641,600,600,600,600,692977.5,600,783894.9,150630.3,600,600,600,600,600,600,229505.7,600,465211.3,600,600,600,600,600,600,600,279961.1,600,386836.4,600,600,600,600,600,600,600,600,600,1478346,600,600,600,600,600,600,600,600,927571.4,600,600,600,600,600,1153685,600,600,600,600,600,756479.6,825134.3,600,1109547,600,600,600,600,600,600,748378.8,600,600,843716.8,600,600,707649.9,600,721415.5,763468.8,744789.4,600,698580.4,600,600,814151.1,600,600,600,600,600,600,600,600,600
185_7.086_93.0579,600,600,600,600,600,600,610696.9,600,600,600,600,600,189237.4,600,313459.1,600,600,600,600,178439.4,600,800259.4,600,600,304148.1,330856.4,600,600,193014.1,600,600,1075352,600,600,892297.1,600,600,600,600,600,600,600,357262.9,121213.3,91959.86,118052.5,1124268,600,600,600,600,600,600,600,107681.1,600,600,600,600,600,600,248053.5,1161302,892558.4,600,1124427,600,999872.6,1114047,600,669821.3,600,600,600,275188.2,600,600,181753.7,257569.8,247823.4,600,600,257867.7,213229.8,199715.3,188571.9,600,600,600,600,401598.4,600,600,600,193241.5,600,600,600,600,600,600,600,600,600,600
186_1.821_93.0579,600,600,600,600,600,600,600,600,246723.2,321430.3,600,600,530675.4,600,600,600,600,308999.1,202447.7,600,600,600,600,600,600,600,600,600,600,600,172213.5,600,600,600,600,600,600,214857.6,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1855.034,254919.7,600,600,600,406083.4,230758.9,386587.8,600,600,600,600,600,264511.2,600,197014.2,600,600,600,600,600,541714.6,736565.7,620902.9,432782.1,428356.1,405927.5,404342.9,600,445466.6,337579.2,500280.8,529220.2,389510.8,600,435476.7,600,600,536723.9,600,600,297168.7,381307.2,545088.8,600,407900.7,317094.2,343619.2,349484.7,600,600,308938.5,297442
187_1.613_93.0579,679665.8,600,600,600,600,600,600,586857.9,600,600,753727.2,600,478668,600,600,600,600,600,600,583819.2,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,160275.8,600,600,600,600,600,600,600,600,600,600,78334.45,600,600,600,600,347167.6,600,600,600,600,600,600,600,600,600,600,600,600,600,600,552605.1,600,541935.1,600,614608.9,509407.4,569340.3,529028.8,600,600,600,367752.1,590533.9,600,600,377431.5,600,600,600,600,641688.3,535422.9,542753.6,600,600,341709.1,548539.4,579018.6,693074.2,600,347823.8,600,600,600,600,608697.3,600
188_2.027_93.0579,600,600,600,600,600,600,600,326013.6,600,139250.1,600,600,362562.2,600,327993.1,600,394124.5,471693.8,600,600,600,600,203733.3,600,374283.8,502439.2,600,600,600,195896.5,354755.2,235866.3,600,600,201172.5,181734.3,600,352692.2,600,600,600,600,600,600,600,247337.8,600,600,600,600,600,600,600,600,157197.5,600,600,600,210359.6,441267.7,600,600,600,600,600,216464.3,600,600,600,600,600,229289.5,600,600,600,397538,600,188083.9,360027.2,285955,600,600,314381.2,600,217822.4,247919.8,239151.3,600,353310.4,600,531687.6,600,175217.4,309763.5,376722.1,600,380628.3,600,600,342668.7,600,278155.8,401172.9,600,600
189_2.344_93.0579,600,600,600,600,600,600,600,271951,600,600,600,600,600,600,600,600,465658.3,372109.5,321461.1,317563.5,600,600,600,600,600,600,600,600,278117.6,600,600,600,600,600,209398.9,600,600,205207.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,573791,337027.5,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,675196.4,567599.9,652401.5,562175.6,592006.5,600,600,225165.5,344960.7,600,510132.2,272442.8,600,600,600,600,600,391894.7,569825.6,600,581413.3,600,600,394412.3,600,600,437590.4,600,600,600,600,600,388400.8,600,600
190_4.301_93.0579,175843.9,600,600,600,232901.8,600,416466.6,175031.2,275422.7,228361.6,600,600,242948,600,600,600,389050.4,310804.9,600,398177.2,600,600,600,600,600,600,600,600,600,600,600,600,340655,600,600,391908.3,600,165784.8,600,600,600,600,600,600,600,600,600,113270,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,223491,600,600,600,600,600,600,600,600,600,600,355087.8,353229.5,600,382820.9,600,287651.6,600,326512.4,600,462575.2,600,600,600,600,316064.5,422096.7,349694.4,410445.5,376101,318086.4,600,268619.8,600,290882.2,600,268037.3,247317.9,255987.7
191_2.982_93.0579,483403.9,600,600,600,600,600,281539.6,600,600,600,444232.4,600,600,600,600,600,600,600,491488,391424,600,600,600,24260.99,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,205581.3,600,600,600,600,600,600,600,600,600,600,284505.7,449802.8,600,600,600,354102.4,270763.6,600,600,600,600,600,600,600,600,600,600,600,290379.3,600,457810.3,299342.1,364678.3,387068.7,369862.5,600,468826.4,600,600,450349.7,600,600,600,509257.3,474190.7,600,600,438448.6,600,600,600,600,600,417974.4,389948.4,600,368443.8,221721.9,262305.3,600,600,298515.2
192_3.898_93.0579,600,46102.29,600,600,600,600,169930.7,242999.3,280316.6,600,359170.6,600,173677.7,600,600,600,202780.8,164718.5,168594.9,600,147294.2,600,600,600,600,600,600,101857.9,600,600,600,600,600,600,600,109919.8,600,600,600,600,47431.69,600,600,600,600,600,600,600,600,600,600,600,600,159243.1,600,600,399552.2,600,600,600,600,600,600,600,600,600,600,600,600,600,308935.1,600,279926.3,600,600,600,349444.4,600,272186.3,600,321148.6,318695,600,210932.6,600,240649.9,399016.6,400627.9,395970.9,317475.4,600,303403.3,600,600,343678.6,600,276472.4,257484.8,191119.5,600,389891.5,309436.8,140732.3,328258.3,600
193_3.561_93.0579,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,530936,600,600,600,600,600,600,600,66024.62,77247.81,600,600,435220.5,600,600,600,600,264969,59081.33,54682.7,600,356828.4,600,600,600,600,600,600,600,600,600,600,185899.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,544573.4,518817.3,600,478049.1,510491.4,289205.7,600,600,600,479580.8,521087.4,600,260133.5,600,600,252740,600,457923.3,600,268082.3,338210.6,257838.4,600,600,347806.7,523523.8,328575.1,194595.6,347379.4,600,336600.2,600,600,600,600
194_1.441_93.0579,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,232189.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,394908.1,600,600,381691.7,600,600,600,600,388127.9,600,600,600,600,600,108894.7,600,600,600,600,431719.4,600,600,600,382269.6,600,600,600,600,600,600,600,600,600,600,600,600,255870.1,431215.3,476063.2,600,600,600,445810.3,361524.7,458720.4,343584.5,444973.4,427803.8,386896.4,452443.8,370924.4,600,401819.9,439052.6,373966.3,600,361770.1,362868.3,346788.7,600,600,600,171510.5,600,600,600,600,600,144552.1,600,600
195_9.692_93.0579,171750.1,600,600,600,600,600,600,600,192786.6,600,600,169233.3,240218.4,178460.6,600,600,600,222881.9,600,600,600,600,600,600,223783.2,600,600,600,174988.5,600,203201.4,600,600,600,600,205214.1,254441,174059.3,157143.5,600,600,600,600,600,243180.2,600,600,239810.2,600,600,600,600,600,197884.4,600,600,201052.9,173005.3,600,600,600,201698,600,600,600,600,600,600,226270.1,600,216304.2,600,231450.8,238643.4,600,600,600,190557.7,234615.8,186543.2,600,600,185030.7,253314.6,600,241478.8,227733,600,600,254418.1,600,240641.9,600,245103.6,600,222690.1,255392.9,250844,600,242181.4,600,241246.8,224545.4,244454,209256.1
196_0.232_93.0579,600,126975.3,261754.8,600,198377.9,600,600,600,600,169021.4,600,600,600,600,600,600,600,600,600,600,152330.9,600,600,173344.1,600,600,600,600,353041.5,600,600,600,600,600,600,272389.4,600,191545.9,600,163984.3,600,600,308683.6,600,600,600,600,600,195182.3,600,600,226796.4,600,189200.8,600,600,600,600,234616.8,600,600,175166.5,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,307132.2,291712.2,600,366410.6,387910.9,600,600,209764.6,600,422841.3,600,358616,586267.6,600,600,450888.3,600,600,505665.1,159712.5,600,406700.8,600,600,256107.5,600,585724.6
197_9.999_93.0579,600,600,600,600,600,600,600,585869.9,600,600,600,168661.5,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1316736,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1207688,600,600,600,1085665,1808650,1250732,600,600,600,279313.9,600,285129.2,600,278293.5,600,600,600,600,600,600,600,600,222437.4,217027.4,296395.3,348245.6,600,600,600,600,600,600,600,293106.2,600,600,600,600,600,600,600,600
198_10.347_93.0579,418612.2,600,600,600,600,600,600,568962.4,447272.4,600,747630.8,600,600,600,600,600,600,600,600,600,600,600,600,600,748874.9,600,501313.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,1010658,600,600,600,600,600,442175.6,600,600,600,600,600,1140071,600,600,600,978810.8,600,600,600,600,600,600,600,314758.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,278392.3,600,600,600,600,186665.5,600
199_10.305_93.0579,600,600,308558.1,600,600,600,341658.4,600,600,600,248880.8,600,600,600,258370.2,354494.1,332282,600,600,600,600,600,600,600,600,600,239321.9,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,87194.99,600,307933.3,600,600,600,600,600,600,600,600,600,600,335428.6,600,338648.7,341335.3,266629.5,600,600,600,364101.5,302798.5,600,339646.9,600,600,600,312099.3,317455.9,600,336488.1,236310.7,346401.3,600,600,600,296394.3,600,273423.9,311161.4,262951.9,179434.3,277895.5,259797.8,600
200_2.434_93.0579,600,600,600,600,600,600,600,600,600,230396.4,600,333673.1,259471.9,600,600,600,600,600,225912.9,220804.8,600,347653.2,600,600,600,600,221902.4,600,199875.3,600,600,196932.3,600,600,200467.2,227348.4,600,176411.2,600,600,600,600,600,600,600,192488.7,600,223075.4,600,600,600,600,600,229469.6,600,600,600,600,172166.6,186273.9,600,281922.5,179426.8,600,600,600,600,600,600,600,600,600,600,600,600,262549.4,600,318423.3,213088.7,330322,600,264414.8,600,600,600,331543.4,600,600,600,600,600,356432.6,600,232843.9,600,600,600,226250.1,600,173896.8,268734.8,341118,293448.2,600,600
201_9.055_93.0579,600,600,207095,600,600,600,600,600,220901.6,600,600,600,600,203908.2,205183.8,254673.1,600,600,600,253213.2,600,600,600,600,600,600,600,61511.32,600,61229.31,600,600,257532.7,600,600,600,173955.6,175120.1,600,600,600,600,600,600,247889.4,600,600,600,45322.48,600,600,600,600,600,600,183730.7,600,600,600,255674,600,245367.1,600,600,600,600,600,600,600,600,188586.7,600,600,600,600,230325.7,241424.9,188163.8,600,173176.5,600,248781.8,189278.5,176570.8,209164.4,219045,255479.2,249951.3,600,186788,264650.8,600,600,600,600,187942.2,193478.9,600,240257,600,600,600,600,193997.1,210597.5
202_3.273_93.0579,600,600,600,250349.6,600,600,600,600,600,600,600,244162.5,600,600,600,600,600,217912.7,600,600,179654.6,600,600,600,600,600,285971.3,600,600,600,600,600,600,600,260521.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,164592.4,600,600,600,600,167485.3,600,600,600,600,600,600,600,600,294972.7,600,600,600,600,600,600,600,293641.6,600,304953,281965.2,600,600,318461.8,600,600,600,267183.8,600,600,600,315345.9,330093.9,268525.4,229787.9,600,321884.6,600,600,600,278313.5,287752.6,68046.25,259385.1,600,600,600
203_0.8_93.0579,600,211088.2,600,600,600,600,600,600,600,600,600,112969.3,600,600,158898.6,213498,132541.5,600,600,600,600,600,600,212837.9,600,144641.6,600,289944.9,32314.66,600,600,600,600,600,600,600,600,30625.75,600,600,108510.1,600,600,600,600,600,600,600,256924.1,600,600,600,600,600,600,600,600,73431.53,600,600,600,600,600,600,600,600,600,600,600,600,75094.2,256801.8,600,600,179474,139351.5,304568.7,600,600,600,186062.6,600,111585.8,108901.9,58786.89,600,264664.4,260118.8,111191.6,193625.5,600,600,600,228000.8,288767.1,94363.53,171197.3,94003.82,600,58737.66,600,188552.6,600,600,78524.94
204_1.407_93.0579,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,182613.2,600,600,600,115454.5,600,600,600,600,600,209513.2,600,600,600,600,600,600,205038.6,600,203078.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,215128.4,600,600,600,229434.1,220934.4,600,600,600,600,600,600,600,600,600,600,600,222979.5,600,201590.5,203486,196239.7,600,192513.9,179793.8,600,600,600,206278.7,213461.8,600,208697,600,600,600,600,204326.8,600,600,600,199153.5,600,600,188070.7,45665,217682.8,600,600,600,600,600,189478.7
205_3.027_93.0579,600,600,600,600,215369.9,600,600,600,600,600,600,600,600,600,178340.8,191479.2,600,231587.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,213415.4,600,600,245863.4,600,600,600,600,199903.3,600,600,600,255779.5,600,600,600,600,600,600,191891.5,600,600,600,600,187700.3,218055.5,600,600,600,600,600,600,600,600,600,600,600,196701,600,600,207305.5,600,600,184320.8,145785.4,219604.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,135421.8,600,600,256057.1,149424.6,214376,199816.8,280990,210810.5,217840.9,600
206_1.056_93.0579,600,600,600,600,32841.39,600,240966.6,600,165356.1,76303.28,600,600,600,600,600,600,600,260092.3,131153,600,600,600,600,600,600,600,179488,103462.5,220972.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,116256.7,600,600,600,600,600,600,600,600,600,600,600,600,600,150387.5,600,225935.7,131513.6,122280.7,239272.3,125092.1,227298.4,176990.7,139060.5,600,600,600,116083.5,600,600,600,600,600,600,198756,178288.7,600,600,113870.3,600,168518.8,600,600,600,127172,600,96525
207_0.729_93.0579,600,308603.2,600,600,600,303366.2,600,600,600,162622.7,600,600,600,600,600,600,600,600,600,252430.3,600,600,200287.7,167813.1,600,600,600,600,600,600,600,600,600,600,600,600,294217.7,301876,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,221946.8,600,600,600,148263.2,600,316969,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,306268,600,600,600,600,600,600,600,600,321950.7,600,600,600,600,600,600,600,600,600,600,600,600,600,285933.5
208_1.36_93.0579,600,600,600,600,153268.5,91710.64,600,600,600,600,600,137028.8,96019.18,600,600,98094.73,600,600,600,600,83587.98,600,100396.8,63147.34,600,600,600,106433.5,170727.3,600,600,600,600,600,600,106644.5,600,106432.2,600,600,600,600,600,600,600,600,600,600,120946.6,600,600,600,600,600,600,600,600,600,600,124584.2,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,178832.6,102979.6,169285.1,160797,168242.9,147587.5,600,600,162488.2,600,600,600,600,600,600,600,148254.6,177517.7,600,173171.3,109164.3,600,123137.7,172468.9,600,140286.5,149019.4,600,600
209_8.964_93.0579,166792.1,600,600,600,600,74459.69,600,600,600,96190.15,83890.47,600,600,600,600,600,99363.32,600,600,600,600,600,600,600,600,156725.7,600,600,162558.7,600,600,600,600,600,600,103844.4,600,600,600,600,600,600,134106.8,600,600,99058.74,600,118987.8,600,600,600,83734.13,600,92617.45,600,84738.82,600,600,110920.3,117797.5,600,600,600,600,600,166095,600,600,600,600,600,159409.1,75763.4,151938.1,600,600,600,600,119183.2,600,136344.3,600,600,600,168696.4,600,600,167366,600,136242.7,131816.5,600,600,600,600,600,97051.13,600,95932.96,600,600,600,143985,600,163986.9
210_0.497_93.0579,600,600,600,600,600,600,600,600,600,600,600,600,217056.3,600,600,600,600,600,600,131166.8,120332.8,600,198629.6,600,600,600,600,162901.5,182561.1,600,600,600,600,600,600,203331.7,600,600,600,168055.7,172384.9,600,600,600,600,600,600,2720.687,173917.6,600,600,600,600,211991.7,600,600,600,600,216925.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,194145.9,600,600,600,600,182706.8,600,600,600,600,600,600,204773.5,600,600,600,600,211041.1,600,600,600,600,600,600,186751.6,600,161659.3,175956,600,600,600,600
211_9.265_93.0579,600,600,600,600,84857.22,600,600,600,600,121813.1,600,600,87940.65,600,92753.49,112620.8,600,132840.1,600,73296.8,87406.92,600,600,96125.59,600,600,106676.1,600,83242.41,600,600,600,78958.16,600,600,107878.2,600,113658.6,600,600,80111.92,76142.27,600,102089.3,600,600,600,600,600,113528.9,117735.1,600,600,106286.9,109200.4,106976.6,600,600,101868.9,600,600,600,102738.6,600,600,600,85285.02,600,98646.82,600,600,600,600,100845.6,600,600,600,600,128704.3,600,600,93210.43,131115.1,600,600,600,600,124567.6,600,600,600,600,600,117597.6,600,105387.7,600,600,600,66051.23,600,600,126377.8,600,600
212_1.864_93.0579,600,600,600,600,154583.4,600,600,600,600,181119.5,600,600,600,600,600,600,600,190297.6,600,600,600,600,600,127457.8,600,600,600,190248.5,600,131027.6,159386.8,600,600,1918.926,600,193207.5,600,194647.9,600,600,600,600,600,600,600,600,600,600,172797.6,600,600,600,600,600,157621.9,600,600,600,178139.3,172125.5,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,415003.8,600,600,167858.2,600,600,600,600,187811,600,600,600,600,600,600,600,600,600,600,600,174511.5,600,600,600,600,600,600,600
213_0.144_93.0579,600,600,600,600,190905.8,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,146684.2,600,600,127456.3,600,600,600,600,600,600,600,600,600,600,600,600,600,276849.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,380964.3,340248.7,600,230131.6,600,416548.3,600,600,600,600,600,600,600,600,600,600,600,600,600,116662.5,600,600,600,600,600,600,600,600,267797.1,600,600,365977.8,428415.5
214_3.507_93.0579,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,197588.4,600,600,600,600,600,600,600,600,125158.4,600,600,600,600,600,600,600,600,600,600,93932.47,600,600,600,133749.3,600,600,600,600,600,600,600,600,600,150470.2,600,600,600,600,600,600,600,600,600,600,600,600,600,127824.7,600,600,186238.6,600,600,600,600,600,600,87360.34,600,152398.1,600,600,600,600,600,173270,600,203077.1,600,600,114193.9,194007.7,600,600,198447.9,600,600,98254.27,600,600,600,151869.7,135897.3,600,600
215_10.138_93.0579,178711,600,600,600,600,600,600,600,600,163025.7,235351.6,193612.6,600,209619.3,600,232684.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,168597.4,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,185067.8,600,600,600,600,600,600,164600.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,226050.8,600,261078,600,218528.7,600,600,194416,600,600,193661.9,182812.9,600,600,600,600,600,600,600,600,600,600,600,600,229791.8,600,600,600,600,600
216_10.201_93.0579,600,600,600,110738.5,600,600,600,600,130450.6,198801.9,600,600,129493.8,116515.4,600,132682,600,111987.1,600,115363,80764.91,600,600,600,600,600,600,600,122510.4,600,600,600,600,600,128971.5,600,600,600,113656.4,600,600,600,600,122774.9,164869.5,127863,155829.4,600,600,600,600,600,77572.57,600,600,600,600,600,600,91101.54,600,600,600,600,600,600,600,600,160156.3,600,600,154133.7,600,600,600,600,600,600,600,600,600,600,600,600,600,600,154873.3,600,600,600,600,122434.6,600,600,151076.3,600,600,600,600,600,600,600,600,108815.2,600
217_6.069_93.0579,600,78013.87,59418.1,600,100477.7,57676.68,600,600,600,600,600,600,600,90822.7,600,600,600,600,600,96846.36,600,600,48077.71,75687.32,600,600,600,61614.6,600,600,109485,600,600,600,600,110103.3,600,600,61377.28,93335.08,600,104319.4,600,142426,114799.4,106906.6,600,600,39424.77,83373.2,600,60857.05,600,600,138303,600,600,600,115481,600,600,77106.63,82902.48,156849.8,600,600,600,117650.8,600,65090.91,600,600,600,600,600,600,600,600,600,121436.9,600,600,600,600,600,600,600,146635.7,600,600,600,600,600,600,600,600,600,600,600,152927.1,600,600,600,600,600
218_9.742_93.0579,600,600,148580.5,138630.6,81160.25,600,600,600,600,129415.8,600,600,600,600,600,131818.5,600,152427.5,149059.5,600,600,150065.9,600,600,600,600,600,600,600,600,600,600,600,600,600,118522.7,36181.48,144741,119366.2,600,600,600,142039.9,600,600,66219.87,600,600,600,600,600,600,600,600,600,152014.1,600,600,114458.5,600,600,33244.02,600,600,600,600,600,600,600,600,600,600,600,600,143106,600,148656.5,600,600,600,145223.2,128052.3,600,600,600,127441.5,600,600,600,600,600,130559,600,600,600,600,600,600,600,114127.6,600,600,600,600,600
219_10.03_93.0579,600,51142.31,600,600,600,62363.99,600,100291.5,600,600,600,600,600,600,56626.85,600,94644.86,600,68780.74,97691.67,97448.44,95921.59,33519.49,104681.5,600,600,600,89316.25,101791.3,42648.28,600,600,600,600,600,105645.1,600,104406.5,52624.91,30427.4,68127.45,600,600,600,600,600,62721.55,600,600,600,83548.25,96761.2,100946.5,93042.21,600,600,600,600,95202.7,100840,600,600,101386.4,600,50152.58,600,600,600,600,600,600,600,600,101272.5,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,97992.61,600,600,600,600,600,600,600,600,78286.8
220_5.462_93.058,500673.2,600,366333.3,661611.8,289659.5,600,391299.7,341507.8,248503.1,225045.9,600,235525.5,269511.9,600,600,600,600,475441.5,621299.1,506707.2,220100.2,600,600,600,619001.6,770561.6,600,600,600,600,514733.5,1551986,600,1454803,504367.3,270437,508480.3,600,600,600,193430,335441.1,600,600,600,1708550,1819095,234535.1,600,677237.4,1048369,79742.51,555530.8,600,600,600,600,1375357,600,600,704787.3,600,1245997,259559.8,964647.1,600,1327684,600,600,600,686869.3,496537.6,459136.8,462158.9,541486.1,177874.3,363959.2,600,600,369453.4,493840.7,479339.2,336288.6,600,288539.3,600,473798.4,312195.6,473369.8,600,600,600,866267.5,572353.1,600,600,600,297031.6,600,600,405839.5,600,600,528538.8,360798.5
221_4.726_93.058,600,600,467996.6,600,600,600,330072.5,169388.4,600,600,278405.4,600,437688.3,416067.9,310995,501683,365478.8,600,304306.4,279690.2,600,600,600,600,600,600,600,600,600,600,600,191397.6,600,600,600,600,600,600,600,600,600,600,600,600,494612.1,600,600,256487.9,600,600,159151.4,600,600,600,600,488432.2,106939.1,275623,203199.5,600,416920.5,600,600,600,600,600,600,600,296242.1,600,600,443979.4,478582.6,600,506340.8,600,405151.8,600,600,404447.2,428612.8,600,352817.8,399097.3,600,245071.5,403900.3,391850.7,455154,255821.5,600,260916.8,326487,409105.9,338465.3,476977.9,375741.6,600,472744.1,600,488791.9,186792.2,257397.4,600,303772.8
222_4.365_93.058,172948.8,600,600,600,108957.8,600,600,150197.6,136778.8,159175.6,600,600,230403.3,600,191615.5,600,201699.2,600,600,600,144972.1,600,105351,91713.01,600,600,600,600,600,600,600,149659,600,600,600,183372,600,106679.7,110881.2,600,123850.6,600,600,600,600,600,600,110928.6,98301.88,600,600,600,600,174132,600,600,113990.2,600,229197,112344.6,600,600,600,600,88041.9,600,120311.9,600,175718.3,127387.6,600,205206.5,600,600,600,600,600,600,600,600,600,600,600,600,188628.1,135990.7,600,600,600,147500.9,600,600,600,600,600,600,112368.6,600,216658.7,228965,600,143644.1,600,600,600
223_3.271_93.058,366992.2,600,600,600,600,600,600,600,600,351035.3,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,217769.1,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,455822.8,600,600,336972,343566.7,600,389103.8,600,600,600,600,600,600,600,600,600,600,398983,274557.7,600,600,600,401495.2,600,600,600,309377.5,600,318858.7,201190.6,600,600
224_2.301_93.058,600,600,600,600,600,93904.69,600,600,600,139218.5,600,600,600,600,600,43745.76,149457.3,600,147313,600,600,600,600,65939.5,600,600,600,63312.53,600,142596,600,600,600,600,600,600,600,171463.4,600,600,600,600,600,600,600,159326.5,600,600,600,600,600,600,600,600,171597.8,600,600,600,600,136694.1,600,600,600,600,600,600,600,600,600,600,600,163022,600,600,600,600,600,171904.5,600,600,600,600,600,600,600,600,600,600,600,157874.1,600,600,600,145680.1,600,600,600,600,600,171117,600,600,600,600,600
